"work","title"
"http://data.carnegiehall.org/works/90207","Slåtter: Bruremarsch (etter Myllarguten) (Bridal March after Myllarguten), Op. 72, No. 8"
"http://data.carnegiehall.org/works/109477","Quest for God: Unspecified excerpts"
"http://data.carnegiehall.org/works/11408","How sweet the moonlight sleeps"
"http://data.carnegiehall.org/works/29420","Centuria"
"http://data.carnegiehall.org/works/70270","The Sad Park"
"http://data.carnegiehall.org/works/60918","Young Apollo, Op. 16"
"http://data.carnegiehall.org/works/103408","Nova"
"http://data.carnegiehall.org/works/104189","prayers for night and sleep"
"http://data.carnegiehall.org/works/3284","String Quintet in C Major D. 956: 2. Adagio"
"http://data.carnegiehall.org/works/13581","In the Garden"
"http://data.carnegiehall.org/works/24449","Cantabile et presto"
"http://data.carnegiehall.org/works/70353","Cerf-Volent"
"http://data.carnegiehall.org/works/70555","Serenade in E-flat Major, Op. 6: 2. Allegro ma non troppo e grazioso"
"http://data.carnegiehall.org/works/113915","Time Loops"
"http://data.carnegiehall.org/works/21993","Love's Emblems"
"http://data.carnegiehall.org/works/40970","Three Gothic Ballads"
"http://data.carnegiehall.org/works/77260","10 Mélodies sur des Poésies de Verlaine, Op. 83: 9. En sourdine"
"http://data.carnegiehall.org/works/80255","Their Side of the Story"
"http://data.carnegiehall.org/works/65433","2 Canzoni (unspecified)"
"http://data.carnegiehall.org/works/84724","The Limpid Stream, Op. 39: Adagio"
"http://data.carnegiehall.org/works/92275","You'll Never Walk Alone/ Climb Ev'ry Mountain"
"http://data.carnegiehall.org/works/10955","Capriccio Espagnol, Op. 34: Alborada"
"http://data.carnegiehall.org/works/17438","5 Lieder, Op. 39: 4. Befreit"
"http://data.carnegiehall.org/works/73107","Scratchband"
"http://data.carnegiehall.org/works/82761","Trio in G Major, Op. 18, No. 2"
"http://data.carnegiehall.org/works/114928","Mame: Overture"
"http://data.carnegiehall.org/works/61634","Suite ""1922"", Op. 26: 1. Marsch"
"http://data.carnegiehall.org/works/100696","Tangos"
"http://data.carnegiehall.org/works/45255","Romanze"
"http://data.carnegiehall.org/works/89271","Invisible"
"http://data.carnegiehall.org/works/88774","8 Variations on a Theme by Count Waldstein, WoO 67"
"http://data.carnegiehall.org/works/105381","Year of the Horse"
"http://data.carnegiehall.org/works/6160","Piece for Two Instrumental Units"
"http://data.carnegiehall.org/works/7472","Dreams"
"http://data.carnegiehall.org/works/15781","Eli, Eli"
"http://data.carnegiehall.org/works/25400","For Poulenc"
"http://data.carnegiehall.org/works/44114","Piano Sonata No. 1 in F Minor, Op. 2, No. 1, ""Bonn"": 1. Allegro"
"http://data.carnegiehall.org/works/68419","Fantasy in A Minor"
"http://data.carnegiehall.org/works/74581","Tre nya sånger: 3. En speleman"
"http://data.carnegiehall.org/works/453","Psappha"
"http://data.carnegiehall.org/works/16078","Untitled March"
"http://data.carnegiehall.org/works/37906","Trio No. 1 for Clarinet, Bassoon, and Piano"
"http://data.carnegiehall.org/works/76649","Hacia la cima"
