"event","date","title","workperformed","genre","genreLabel","composer","composerName","skos"
"http://data.carnegiehall.org/events/54740","1901-04-24T20:15:00","Ascension Memorial Church Choir presents ""Trial by Jury""","http://data.carnegiehall.org/works/40228","http://data.carnegiehall.org/genres/33","opera","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/events/24425","1912-04-07T20:00:00","Gaelic Society: Feis Ceoil Agus Seanachas","http://data.carnegiehall.org/works/4970","http://data.carnegiehall.org/genres/449","Gaelic music","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/events/24425","1912-04-07T20:00:00","Gaelic Society: Feis Ceoil Agus Seanachas","http://data.carnegiehall.org/works/4970","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/events/18928","1948-04-30T20:30:00","Kid Ory and His Creole Jazz Band","http://data.carnegiehall.org/works/65169","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/51337","Clarence Williams","http://www.wikidata.org/entity/Q162530"
"http://data.carnegiehall.org/events/21933","1938-11-21T20:30:00","W. C. Handy Birthday Concert","http://data.carnegiehall.org/works/72982","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/51337","Clarence Williams","http://www.wikidata.org/entity/Q162530"
"http://data.carnegiehall.org/events/17107","1947-02-08T17:30:00","Louis Armstrong and His Orchestra","http://data.carnegiehall.org/works/7011","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/51337","Clarence Williams","http://www.wikidata.org/entity/Q162530"
"http://data.carnegiehall.org/events/18928","1948-04-30T20:30:00","Kid Ory and His Creole Jazz Band","http://data.carnegiehall.org/works/65171","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/51337","Clarence Williams","http://www.wikidata.org/entity/Q162530"
"http://data.carnegiehall.org/events/18928","1948-04-30T20:30:00","Kid Ory and His Creole Jazz Band","http://data.carnegiehall.org/works/65163","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/51337","Clarence Williams","http://www.wikidata.org/entity/Q162530"
"http://data.carnegiehall.org/events/48693","1947-11-15T23:30:00","Fred Robbins' One-Night Stand: Louis Armstrong","http://data.carnegiehall.org/works/65169","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/51337","Clarence Williams","http://www.wikidata.org/entity/Q162530"
"http://data.carnegiehall.org/events/15631","1924-11-15T20:30:00","Paul Whiteman and His Orchestra","http://data.carnegiehall.org/works/52961","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/names/34823","George Gershwin","http://www.wikidata.org/entity/Q123829"
