,composer,composerLabel
334,http://data.carnegiehall.org/names/1005606,Hermann Weil
335,http://data.carnegiehall.org/names/1005591,Samuel L. M. Barlow
336,http://data.carnegiehall.org/names/1005595,Steve Cohen
337,http://data.carnegiehall.org/names/1005596,[first name unknown] Wehrman
338,http://data.carnegiehall.org/names/1005597,William Ahern
339,http://data.carnegiehall.org/names/1005598,Xavier Benguerel
340,http://data.carnegiehall.org/names/1005599,Vangelis
341,http://data.carnegiehall.org/names/1005584,Edward F. Johnston
342,http://data.carnegiehall.org/names/1005585,Michael Coghlan
343,http://data.carnegiehall.org/names/1005586,Loretta Ellenberger
344,http://data.carnegiehall.org/names/1005587,Johann Gustav Eduard Stehle
345,http://data.carnegiehall.org/names/1005588,Elliot Goldenthal
346,http://data.carnegiehall.org/names/1005589,N. Chatziapostolou
347,http://data.carnegiehall.org/names/1005575,Francesco Balilla Pratella
348,http://data.carnegiehall.org/names/1005577,Mário Lago
349,http://data.carnegiehall.org/names/1005578,Walter Braunfels
350,http://data.carnegiehall.org/names/1005579,William Mason
351,http://data.carnegiehall.org/names/1005580,Robert E. Jager
352,http://data.carnegiehall.org/names/1005583,William Ortiz
353,http://data.carnegiehall.org/names/1005566,Orazio Vecchi
354,http://data.carnegiehall.org/names/1005567,Cristóbal Halffter
355,http://data.carnegiehall.org/names/1005568,Doo Wan Kim
356,http://data.carnegiehall.org/names/1005571,Joseph Haas
357,http://data.carnegiehall.org/names/1005572,Richard Decker
358,http://data.carnegiehall.org/names/1005573,Peter Lieuwen
359,http://data.carnegiehall.org/names/1005560,Francis J. Nesta
360,http://data.carnegiehall.org/names/1005561,Florabel Blackwell
361,http://data.carnegiehall.org/names/1005562,Hermann Goetz
362,http://data.carnegiehall.org/names/1005563,John P. Ordway
363,http://data.carnegiehall.org/names/1005564,George Heussenstamm
364,http://data.carnegiehall.org/names/1005565,Gerhard Schjelderup
365,http://data.carnegiehall.org/names/1005546,M. Greenwald
366,http://data.carnegiehall.org/names/1005547,Carlos Amable Ortiz
367,http://data.carnegiehall.org/names/1005550,Wintter Watts
368,http://data.carnegiehall.org/names/1005554,Zakhar Blyhakher
