"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/60654","The Jumping Frog of Calaveras County: Lulu's Song","http://data.carnegiehall.org/names/13009","Lukas Foss"
"http://data.carnegiehall.org/works/74759","Duas lágrimas do orvalho (Two drops of dew)","http://data.carnegiehall.org/names/1014138","Pedro Rodrigues"
"http://data.carnegiehall.org/works/97756","Brigadoon: Come to Me, Bend to Me","http://data.carnegiehall.org/names/1004061","Frederick Loewe"
"http://data.carnegiehall.org/works/99225","Psalm 133","http://data.carnegiehall.org/names/1021515","Simon Bethell"
"http://data.carnegiehall.org/works/12335","On Your Toes: Slaughter on Tenth Avenue","http://data.carnegiehall.org/names/37239","Richard Rodgers"
"http://data.carnegiehall.org/works/83620","Forty-four Duos, BB 104, Vol. 2: 23. Menyasszony-búcsúztató (Wedding Song)","http://data.carnegiehall.org/names/39524","Béla Bartók"
"http://data.carnegiehall.org/works/86855","Abakuá","http://data.carnegiehall.org/names/1016110","Francisco Oropesa"
"http://data.carnegiehall.org/works/94828","Fulfilling My Dream","http://data.carnegiehall.org/names/93609","Tian Ge"
"http://data.carnegiehall.org/works/104807","Raindrops Keep Fallin' On My Head","http://data.carnegiehall.org/names/1006710","Burt Bacharach"
"http://data.carnegiehall.org/works/107532","A Dylan Thomas Trilogy: 1. Fern Hill","http://data.carnegiehall.org/names/28825","John Corigliano"
"http://data.carnegiehall.org/works/1631","Violin Sonata in G Major, K. 301","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
"http://data.carnegiehall.org/works/31653","La Péri: Fanfare","http://data.carnegiehall.org/names/1002664","Paul Dukas"
"http://data.carnegiehall.org/works/36906","Unchained Melody","http://data.carnegiehall.org/names/1004244","Alex North"
"http://data.carnegiehall.org/works/71232","Peace on Earth","http://data.carnegiehall.org/names/1013374","Bela Wilda"
"http://data.carnegiehall.org/works/74387","Air Varié on a Theme by Weigl, Op. 89, No. 5","http://data.carnegiehall.org/names/1001042","Charles Dancla"
"http://data.carnegiehall.org/works/93124","Saskatchewan Overture","http://data.carnegiehall.org/names/1019079","G. E. (Guy Earl) Holmes"
"http://data.carnegiehall.org/works/17515","Stele","http://data.carnegiehall.org/names/1004124","Philip Houghton"
"http://data.carnegiehall.org/works/25661","Fischerweise, D. 881b","http://data.carnegiehall.org/names/1002249","Franz Schubert"
"http://data.carnegiehall.org/works/79578","Mismoir shir (Psalm 92)","http://data.carnegiehall.org/names/29006","Leo Low"
"http://data.carnegiehall.org/works/93557","Laila Peleh (""Wonderful Night"")","http://data.carnegiehall.org/names/1004825","Moshe Wilensky"
"http://data.carnegiehall.org/works/95107","There's no hidin' place down there","http://data.carnegiehall.org/names/1010036","Unknown composer of spirituals"
"http://data.carnegiehall.org/works/27097","Violin Sonata in A Major: 4. Allegretto poco mosso","http://data.carnegiehall.org/names/1004863","César Franck"
"http://data.carnegiehall.org/works/36018","Have you seen but a whyte Lilie grow?","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/49205","De profundis","http://data.carnegiehall.org/names/7922","Frederic Rzewski"
"http://data.carnegiehall.org/works/52741","Non je n'irai plus au bois","http://data.carnegiehall.org/names/1003288","Jean-Baptiste Weckerlin"
"http://data.carnegiehall.org/works/68554","Azara: Three Moorish Dances","http://data.carnegiehall.org/names/1000352","John Knowles Paine"
"http://data.carnegiehall.org/works/80457","Canzonetta de concert","http://data.carnegiehall.org/names/1003781","Joseph Haydn"
"http://data.carnegiehall.org/works/98227","The Blood of Jesus Speaks for Me","http://data.carnegiehall.org/names/88560","Travis Cottrell"
"http://data.carnegiehall.org/works/109798","Sunny Afternoon","http://data.carnegiehall.org/names/64230","Ray Davies"
"http://data.carnegiehall.org/works/15130","Cello Concerto No. 1","http://data.carnegiehall.org/names/1010035","Robert Evett"
"http://data.carnegiehall.org/works/19086","Concerto for Viola and Orchestra","http://data.carnegiehall.org/names/1009846","Alessandro Rolla"
"http://data.carnegiehall.org/works/23737","I Can't Stay Here by Myself","http://data.carnegiehall.org/names/1010036","Unknown composer of spirituals"
"http://data.carnegiehall.org/works/40226","6 Poems after Heine, Op. 31: 6. Der Tod, das ist die kühle Nacht","http://data.carnegiehall.org/names/23693","Edward MacDowell"
"http://data.carnegiehall.org/works/45698","The Fountains of Rome","http://data.carnegiehall.org/names/17563","Ottorino Respighi"
"http://data.carnegiehall.org/works/73739","Solitude","http://data.carnegiehall.org/names/1013856","M. Zachary Johnson"
"http://data.carnegiehall.org/works/75866","Consonance","http://data.carnegiehall.org/names/1010469","Makoto Shinohara"
"http://data.carnegiehall.org/works/93894","Duo in B-flat Major, K. 424: 1. Adagio. Allegro","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
"http://data.carnegiehall.org/works/101525","Oberon: Fatal vow!","http://data.carnegiehall.org/names/1004864","Carl Maria von Weber"
"http://data.carnegiehall.org/works/112012","3 Madrigals (unspecified)","http://data.carnegiehall.org/names/1007022","John Wilbye"
"http://data.carnegiehall.org/works/9131","Lieder und Gesänge, Op. 32: 1. Wie rafft ich mich auf in der Nacht","http://data.carnegiehall.org/names/1004316","Johannes Brahms"
"http://data.carnegiehall.org/works/30092","String Quartet No. 4","http://data.carnegiehall.org/names/38673","Roumi Petrova"
"http://data.carnegiehall.org/works/60324","La doble","http://data.carnegiehall.org/names/1011096","Ruben Urbiztondo"
"http://data.carnegiehall.org/works/78790","Forty-four Duos, BB 104, Vol. 2: 18. Menetelo nóta II (Marching Song II)","http://data.carnegiehall.org/names/39524","Béla Bartók"
"http://data.carnegiehall.org/works/79843","String Quartet in G Minor, H.III:74 (""Rider""): Selection","http://data.carnegiehall.org/names/1003781","Joseph Haydn"
"http://data.carnegiehall.org/works/95419","Te Deum","http://data.carnegiehall.org/names/86783","Karl Jenkins"
"http://data.carnegiehall.org/works/22656","4 Indian Songs: 4. This passion is but an ember","http://data.carnegiehall.org/names/1002839","Hermann Löhr"
"http://data.carnegiehall.org/works/44373","Israeli Concertino For Violin And Orchestra","http://data.carnegiehall.org/names/1006653","George Perlman"
"http://data.carnegiehall.org/works/63543","Virgil","http://data.carnegiehall.org/names/1001716","Arthur Shepherd"
"http://data.carnegiehall.org/works/62374","Twinkles of One Star","http://data.carnegiehall.org/names/1011604","Vladimir Bodegrajac"
"http://data.carnegiehall.org/works/88789","Nobody knows the trouble I've seen","http://data.carnegiehall.org/names/1010036","Unknown composer of spirituals"
"http://data.carnegiehall.org/works/95964","DasJati – Ten Lives of the Buddha: The Chariot of Heaven","http://data.carnegiehall.org/names/97861","Somtow Sucharitkul"
"http://data.carnegiehall.org/works/1503","Serenade for Harp, Violin, and Cello","http://data.carnegiehall.org/names/1003700","Jan Lohel Öhlschlägel"
